Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ECR VS. ADP,PS,Baseline
Patrick Mahomes,QB,KC/12,5.24,0.91,1.0,1,3|04,24.8,1.0,0.82,QB:12
Josh Allen,QB,BUF/7,4.68,0.8,2.0,1,5|02,42.4,1.7,0.65,RB:32
Kyler Murray,QB,ARI/12,4.4,1.61,3.0,1,6|04,54.0,1.5,0.5,WR:34
Lamar Jackson,QB,BAL/8,4.04,1.14,4.0,1,6|04,54.0,1.0,0.36,TE:13
Dak Prescott,QB,DAL/7,2.61,1.19,5.0,2,6|07,57.5,1.4,0.27,
Russell Wilson,QB,SEA/9,2.31,0.86,6.0,2,7|09,69.5,1.5,0.18,
Tom Brady,QB,TB/9,1.61,1.16,7.0,3,10|02,92.3,1.4,0.13,
Jalen Hurts,QB,PHI/14,1.14,1.14,8.0,3,9|09,89.7,0.9,0.09,
Aaron Rodgers,QB,GB/13,1.09,1.43,9.0,3,8|10,80.0,1.8,0.05,
Justin Herbert,QB,LAC/7,1.08,2.84,10.0,3,8|06,76.2,2.1,0.01,
Ryan Tannehill,QB,TEN/13,0.35,0.78,11.0,4,10|03,93.3,1.2,0.0,
Joe Burrow,QB,CIN/10,-0.48,1.1,12.0,4,11|02,102.9,1.8,0.0,
Matthew Stafford,QB,LAR/11,-0.85,0.87,13.0,4,10|10,100.9,1.0,0.0,
Matt Ryan,QB,ATL/6,-0.95,1.02,14.0,4,13|02,122.5,-0.2,0.0,
Kirk Cousins,QB,MIN/7,-1.26,0.86,15.0,5,13|05,125.9,-0.4,0.0,
Carson Wentz,QB,IND/14,-1.48,1.33,16.0,5,15|01,141.4,0.3,0.0,
Trevor Lawrence,QB,JAX/7,-1.65,1.25,17.0,5,13|07,127.4,2.2,0.0,
Derek Carr,QB,LV/8,-1.66,0.92,18.0,5,17|09,169.5,-0.8,0.0,
Baker Mayfield,QB,CLE/13,-1.77,0.87,19.0,5,14|10,140.1,1.2,0.0,
Daniel Jones,QB,NYG/10,-1.98,1.59,20.0,5,16|02,152.4,-2.9,0.0,
Tua Tagovailoa,QB,MIA/14,-2.1,2.08,21.0,5,16|04,154.4,0.7,0.0,
Ben Roethlisberger,QB,PIT/7,-2.72,1.49,22.0,5,16|08,158.6,1.0,0.0,
Sam Darnold,QB,CAR/13,-3.28,1.48,23.0,6,19|08,188.4,-2.3,0.0,
Ryan Fitzpatrick,QB,WAS/9,-3.37,3.55,24.0,6,15|07,147.1,-2.4,0.0,
Jared Goff,QB,DET/9,-3.4,1.82,25.0,6,21|10,210.4,-0.7,0.0,
Zach Wilson,QB,NYJ/6,-3.57,1.63,26.0,6,22|03,213.9,3.1,0.0,
Deshaun Watson,QB,HOU/10,-3.94,4.9,27.0,6,23|03,223.4,12.1,0.0,
Justin Fields,QB,CHI/10,-5.1,4.15,28.0,7,18|10,180.4,3.3,0.0,
Trey Lance,QB,SF/6,-5.58,4.01,29.0,7,22|05,215.5,6.1,0.0,
Cam Newton,QB,NE/14,-7.2,4.52,30.0,8,23|05,225.9,3.4,0.0,
Jameis Winston,QB,NO/6,-7.81,3.66,31.0,9,21|04,204.7,0.7,0.0,
Teddy Bridgewater,QB,DEN/11,-8.02,3.52,32.0,9,30|02,292.9,-1.5,0.0,
Tyrod Taylor,QB,HOU/10,-9.23,4.11,33.0,10,32|02,312.2,0.0,0.0,
Andy Dalton,QB,CHI/10,-10.18,4.15,34.0,10,34|08,338.8,0.0,0.0,
Mac Jones,QB,NE/14,-10.31,2.46,35.0,10,32|06,316.0,8.5,0.0,
Drew Lock,QB,DEN/11,-10.81,4.83,36.0,10,31|08,308.4,3.9,0.0,
Christian McCaffrey,RB,CAR/13,10.19,1.8,1.0,1,1|01,1.1,0.0,0.92,
Dalvin Cook,RB,MIN/7,9.39,1.56,2.0,1,1|02,2.2,0.0,0.84,
Derrick Henry,RB,TEN/13,9.06,1.66,3.0,1,1|03,3.2,0.0,0.77,
Alvin Kamara,RB,NO/6,7.41,1.5,4.0,2,1|07,7.0,0.3,0.71,
Saquon Barkley,RB,NYG/10,6.42,1.45,5.0,3,1|06,6.1,-0.1,0.65,
Nick Chubb,RB,CLE/13,6.34,1.12,6.0,3,1|06,6.9,-0.2,0.6,
Jonathan Taylor,RB,IND/14,6.26,1.92,7.0,3,1|06,6.6,-0.1,0.55,
Ezekiel Elliott,RB,DAL/7,5.99,1.42,8.0,3,1|08,8.1,-0.1,0.5,
Aaron Jones,RB,GB/13,5.92,1.02,9.0,3,2|01,11.8,-0.2,0.46,
Joe Mixon,RB,CIN/10,5.16,1.35,10.0,3,2|09,19.6,0.0,0.41,
Najee Harris,RB,PIT/7,4.52,1.47,11.0,4,3|09,29.9,0.7,0.38,
Austin Ekeler,RB,LAC/7,4.38,1.49,12.0,4,3|04,24.7,0.7,0.34,
Antonio Gibson,RB,WAS/9,4.32,1.72,13.0,4,2|09,19.5,-0.5,0.31,
Chris Carson,RB,SEA/9,4.03,1.2,14.0,4,4|07,37.2,-0.1,0.27,
Clyde Edwards-Helaire,RB,KC/12,3.92,1.22,15.0,4,4|01,31.8,0.0,0.24,
DAndre Swift,RB,DET/9,3.72,1.45,16.0,4,4|10,40.4,1.1,0.21,
JK Dobbins,RB,BAL/8,3.61,1.54,17.0,4,3|09,29.9,-0.1,0.18,
David Montgomery,RB,CHI/10,3.52,1.32,18.0,4,4|07,37.7,0.0,0.15,
Josh Jacobs,RB,LV/8,3.35,1.38,19.0,5,5|02,42.6,1.5,0.13,
Miles Sanders,RB,PHI/14,3.09,1.12,20.0,5,4|10,40.3,0.6,0.1,
Darrell Henderson,RB,LAR/11,2.64,1.91,21.0,5,13|06,126.3,-2.6,0.08,
Myles Gaskin,RB,MIA/14,2.27,1.18,22.0,5,6|06,56.3,0.0,0.06,
Mike Davis,RB,ATL/6,1.95,1.91,23.0,5,7|07,67.6,-1.2,0.05,
Kareem Hunt,RB,CLE/13,1.29,0.96,24.0,6,6|10,60.0,0.9,0.04,
Raheem Mostert,RB,SF/6,0.84,1.1,25.0,6,8|07,77.7,1.0,0.03,
David Johnson,RB,HOU/10,0.82,1.72,26.0,6,10|06,96.3,0.6,0.02,
Chase Edmonds,RB,ARI/12,0.73,1.27,27.0,6,8|10,80.0,0.6,0.02,
Travis Etienne,RB,JAX/7,0.67,1.34,28.0,6,8|06,76.0,0.5,0.01,
Javonte Williams,RB,DEN/11,0.41,1.54,29.0,6,8|07,77.0,1.2,0.01,
Melvin Gordon,RB,DEN/11,0.37,1.6,30.0,6,8|09,79.5,1.1,0.0,
Damien Harris,RB,NE/14,0.32,1.08,31.0,6,8|08,78.1,-1.4,0.0,
James Conner,RB,ARI/12,0.16,1.49,32.0,6,10|08,98.7,1.2,0.0,
Leonard Fournette,RB,TB/9,-0.15,1.1,33.0,7,10|09,99.3,2.3,0.0,
Ronald Jones,RB,TB/9,-0.43,0.8,34.0,7,9|03,83.5,0.2,0.0,
James Robinson,RB,JAX/7,-0.45,2.07,35.0,7,9|05,85.0,3.3,0.0,
Kenyan Drake,RB,LV/8,-0.75,1.85,36.0,7,12|01,111.9,2.2,0.0,
Zack Moss,RB,BUF/7,-0.85,1.02,37.0,7,10|07,97.7,-1.1,0.0,
Trey Sermon,RB,SF/6,-1.06,1.45,38.0,7,10|03,93.3,0.4,0.0,
Gus Edwards,RB,BAL/8,-1.24,1.33,39.0,7,11|07,107.6,-1.0,0.0,
Michael Carter,RB,NYJ/6,-1.26,2.1,40.0,7,10|06,96.2,2.2,0.0,
Devin Singletary,RB,BUF/7,-1.49,0.95,41.0,7,13|04,124.2,1.1,0.0,
Latavius Murray,RB,NO/6,-1.54,0.89,42.0,7,13|02,122.9,-0.4,0.0,
AJ Dillon,RB,GB/13,-1.62,1.36,43.0,8,11|10,110.2,1.1,0.0,
Jamaal Williams,RB,DET/9,-1.73,1.01,44.0,8,13|09,129.6,-0.3,0.0,
Nyheim Hines,RB,IND/14,-2.29,0.79,45.0,8,15|01,141.7,0.0,0.0,
Tony Pollard,RB,DAL/7,-2.5,0.85,46.0,8,13|06,126.5,-0.5,0.0,
Tevin Coleman,RB,NYJ/6,-3.31,1.85,47.0,9,17|01,161.2,-1.9,0.0,
JD McKissic,RB,WAS/9,-3.32,0.81,48.0,9,17|08,168.1,3.0,0.0,
James White,RB,NE/14,-3.33,1.29,49.0,9,18|05,175.2,-0.2,0.0,
Phillip Lindsay,RB,HOU/10,-3.45,1.8,50.0,9,15|02,142.3,-3.0,0.0,
Alexander Mattison,RB,MIN/7,-3.46,0.78,51.0,9,15|10,150.7,0.2,0.0,
Sony Michel,RB,NE/14,-3.98,1.38,52.0,9,18|08,178.6,-2.1,0.0,
Rashaad Penny,RB,SEA/9,-4.0,1.06,53.0,9,16|09,159.5,-0.3,0.0,
Jeff Wilson,RB,SF/6,-4.13,1.93,54.0,9,22|03,213.9,8.5,0.0,
Tarik Cohen,RB,CHI/10,-4.16,1.53,55.0,9,17|02,162.4,-0.8,0.0,
Darrel Williams,RB,KC/12,-4.18,1.21,56.0,9,22|08,218.0,-1.8,0.0,
Malcolm Brown,RB,MIA/14,-4.21,1.39,57.0,9,23|04,224.0,-5.6,0.0,
Justin Jackson,RB,LAC/7,-4.29,1.08,58.0,9,24|03,233.3,2.7,0.0,
Giovani Bernard,RB,TB/9,-4.53,1.18,60.0,9,21|05,205.0,1.8,0.0,
Marlon Mack,RB,IND/14,-4.55,2.5,61.0,9,19|05,185.3,0.1,0.0,
Kenneth Gainwell,RB,PHI/14,-4.64,1.21,62.0,9,21|03,203.3,0.9,0.0,
Joshua Kelley,RB,LAC/7,-4.65,0.89,63.0,9,21|04,204.5,-8.6,0.0,
Salvon Ahmed,RB,MIA/14,-4.7,1.17,64.0,9,19|03,183.4,-6.3,0.0,
Xavier Jones,RB,LAR/11,-4.83,1.42,65.0,9,,,,0.0,
Wayne Gallman,RB,SF/6,-5.0,1.56,66.0,10,26|05,255.8,2.8,0.0,
LaMical Perine,RB,NYJ/6,-5.01,2.5,67.0,10,24|07,237.3,-0.9,0.0,
Darrynton Evans,RB,TEN/13,-5.01,1.57,68.0,10,23|08,228.7,0.3,0.0,
Boston Scott,RB,PHI/14,-5.05,1.2,69.0,10,26|07,257.9,3.9,0.0,
Mark Ingram,RB,HOU/10,-5.06,2.07,70.0,10,22|01,211.8,1.4,0.0,
Chuba Hubbard,RB,CAR/13,-5.07,1.01,71.0,10,24|02,232.4,5.3,0.0,
Devontae Booker,RB,NYG/10,-5.08,0.92,72.0,10,28|03,273.6,1.2,0.0,
Samaje Perine,RB,CIN/10,-5.1,1.09,73.0,10,27|06,266.2,1.4,0.0,
Rhamondre Stevenson,RB,NE/14,-5.12,1.23,74.0,10,24|10,240.2,3.4,0.0,
Benny Snell,RB,PIT/7,-5.2,0.89,75.0,10,20|10,200.3,-2.7,0.0,
Ty Johnson,RB,NYJ/6,-5.26,1.33,76.0,10,29|08,288.7,0.0,0.0,
Javian Hawkins,RB,ATL/6,-5.37,1.58,77.0,10,24|01,231.9,2.0,0.0,
Jordan Howard,RB,PHI/14,-5.38,2.72,78.0,10,31|08,308.9,0.0,0.0,
Jerick McKinnon,RB,KC/12,-5.38,0.91,79.0,10,28|03,273.9,-2.7,0.0,
Qadree Ollison,RB,ATL/6,-5.38,0.93,80.0,10,28|06,276.6,0.0,0.0,
Cordarrelle Patterson,RB,ATL/6,-5.39,1.15,81.0,10,,,,0.0,
Kerryon Johnson,RB,PHI/14,-5.4,1.91,82.0,10,25|06,246.8,-3.4,0.0,
Jake Funk,RB,LAR/11,-5.42,1.08,83.0,10,36|02,352.5,0.0,0.0,
Carlos Hyde,RB,JAX/7,-5.56,1.21,84.0,10,21|06,206.3,-7.4,0.0,
Brian Hill,RB,TEN/13,-5.69,1.73,85.0,10,31|09,309.6,3.4,0.0,
Matt Breida,RB,BUF/7,-5.75,2.12,86.0,10,27|05,265.6,-1.4,0.0,
Mike Boone,RB,DEN/11,-5.94,1.25,87.0,10,31|05,305.9,7.4,0.0,
Raymond Calais,RB,LAR/11,-5.95,1.51,88.0,10,,,,0.0,
Alex Collins,RB,SEA/9,-5.98,0.31,89.0,10,27|07,267.3,0.0,0.0,
Trayveon Williams,RB,CIN/10,-6.03,2.18,90.0,10,34|08,338.0,16.1,0.0,
Jalen Richard,RB,LV/8,-6.03,1.26,91.0,10,34|02,332.8,6.6,0.0,
Jaret Patterson,RB,WAS/9,-6.07,0.66,92.0,10,34|05,335.4,0.0,0.0,
Peyton Barber,RB,WAS/9,-6.24,1.05,93.0,10,33|07,327.1,0.0,0.0,
Larry Rountree,RB,LAC/7,-6.26,1.77,94.0,10,29|10,290.6,0.0,0.0,
KeShawn Vaughn,RB,TB/9,-6.31,1.61,95.0,10,26|02,252.9,-0.9,0.0,
Elijah Mitchell,RB,SF/6,-6.4,1.58,96.0,10,28|10,280.7,13.8,0.0,
Lamar Miller,RB,WAS/9,-6.42,0.61,97.0,10,,,,0.0,
DErnest Johnson,RB,CLE/13,-6.52,0.47,98.0,10,37|10,370.0,0.0,0.0,
Eno Ben,RB,ARI/12,-6.55,1.16,99.0,10,33|06,326.8,7.7,0.0,
Darwin Thompson,RB,KC/12,-6.58,0.93,100.0,10,35|08,348.0,0.0,0.0,
Jordan Wilkins,RB,IND/14,-6.66,1.16,101.0,10,33|04,324.3,0.0,0.0,
Travis Kelce,TE,KC/12,7.14,1.34,1.0,1,2|06,16.7,0.8,0.7,
Darren Waller,TE,LV/8,4.4,1.16,2.0,3,3|05,25.5,-0.3,0.51,
George Kittle,TE,SF/6,3.93,1.0,3.0,3,3|01,21.7,-0.2,0.35,
Mark Andrews,TE,BAL/8,2.61,0.88,4.0,4,6|02,52.8,-0.5,0.24,
Kyle Pitts,TE,ATL/6,2.06,1.02,5.0,5,7|02,62.9,-0.6,0.15,
TJ Hockenson,TE,DET/9,1.62,0.94,6.0,5,6|04,54.5,-1.2,0.08,
Dallas Goedert,TE,PHI/14,0.53,1.05,7.0,6,9|02,82.2,-2.0,0.06,
Noah Fant,TE,DEN/11,0.44,0.54,8.0,6,9|07,87.9,-2.2,0.04,
Tyler Higbee,TE,LAR/11,0.44,0.81,9.0,6,12|01,111.3,-2.5,0.02,
Mike Gesicki,TE,MIA/14,0.27,0.54,10.0,6,11|04,104.9,-1.0,0.01,
Robert Tonyan,TE,GB/13,0.27,1.05,11.0,6,9|10,90.8,-5.5,0.0,
Logan Thomas,TE,WAS/9,0.03,1.05,12.0,6,11|03,103.7,-0.2,0.0,
Rob Gronkowski,TE,TB/9,-0.06,0.66,13.0,7,13|07,127.8,1.3,0.0,
Irv Smith,TE,MIN/7,-0.08,0.68,14.0,7,12|06,116.3,-2.0,0.0,
Jared Cook,TE,LAC/7,-0.14,0.65,15.0,7,16|07,157.8,-0.4,0.0,
Jonnu Smith,TE,NE/14,-0.48,1.03,16.0,7,14|06,136.3,0.3,0.0,
Evan Engram,TE,NYG/10,-0.75,0.65,17.0,7,14|08,138.8,1.9,0.0,
Hunter Henry,TE,NE/14,-0.76,0.97,18.0,7,15|01,141.0,2.8,0.0,
Adam Trautman,TE,NO/6,-0.85,1.59,19.0,7,18|02,172.6,-2.9,0.0,
Austin Hooper,TE,CLE/13,-0.88,0.65,20.0,7,16|08,158.3,-4.1,0.0,
Blake Jarwin,TE,DAL/7,-0.91,0.83,21.0,7,16|04,154.1,-8.8,0.0,
Eric Ebron,TE,PIT/7,-0.96,0.69,22.0,7,20|02,192.9,-3.2,0.0,
Anthony Firkser,TE,TEN/13,-1.28,1.01,23.0,8,19|07,187.6,-1.0,0.0,
Zach Ertz,TE,PHI/14,-1.53,1.27,24.0,8,20|04,194.8,3.6,0.0,
Hayden Hurst,TE,ATL/6,-1.62,1.07,25.0,8,22|01,211.0,-0.9,0.0,
Cole Kmet,TE,CHI/10,-1.72,0.74,26.0,8,16|09,159.7,-9.2,0.0,
Dawson Knox,TE,BUF/7,-1.73,0.91,27.0,8,22|10,220.8,0.0,0.0,
Gerald Everett,TE,SEA/9,-1.75,1.0,28.0,8,18|07,177.6,-4.3,0.0,
OJ Howard,TE,TB/9,-1.83,0.71,29.0,8,23|02,222.8,-1.9,0.0,
Jimmy Graham,TE,CHI/10,-2.26,0.57,30.0,8,27|06,266.9,2.6,0.0,
Mo Alie-Cox,TE,IND/14,-2.27,0.58,31.0,8,28|02,272.0,6.0,0.0,
Chris Herndon,TE,NYJ/6,-2.32,1.2,32.0,8,26|05,255.3,0.0,0.0,
Jordan Akins,TE,HOU/10,-2.35,0.77,33.0,8,28|07,277.5,11.2,0.0,
CJ Uzomah,TE,CIN/10,-2.37,0.88,34.0,8,30|08,298.9,4.1,0.0,
Jack Doyle,TE,IND/14,-2.55,1.05,35.0,9,26|08,258.2,0.0,0.0,
Dan Arnold,TE,CAR/13,-2.78,1.04,36.0,9,25|07,247.3,0.0,0.0,
Donald Parham,TE,LAC/7,-3.0,0.88,37.0,9,29|04,284.6,1.0,0.0,
Dalton Schultz,TE,DAL/7,-3.0,0.99,38.0,9,29|02,282.1,0.0,0.0,
Will Dissly,TE,SEA/9,-3.06,0.79,39.0,9,31|01,301.0,0.0,0.0,
Kyle Rudolph,TE,NYG/10,-3.15,0.85,40.0,9,29|09,289.7,0.0,0.0,
Tyler Conklin,TE,MIN/7,-3.23,0.83,41.0,9,32|10,320.5,0.0,0.0,
